filename,objective_power,mpp_x,equiv_mag,category,level_count,level0_width,level0_height
TCGA-05-4245-01Z-00-DX1.36ff5403-d4bb-4415-b2c5-7c750d655cde.svs,20,0.2325,43.01075268817204,40x+,4,37120,78080
TCGA-05-4405-01Z-00-DX1.D57EC2B2-3A59-4954-86A7-61782938BCC5.svs,20,0.2325,43.01075268817204,40x+,4,50432,83712
TCGA-05-4415-01Z-00-DX1.55E0C429-B308-4962-8DA9-41D7D3F7764E.svs,20,0.2325,43.01075268817204,40x+,4,98304,103680
TCGA-05-4425-01Z-00-DX1.82B093EE-49BC-4FD9-91AC-4CC89944309D.svs,Unknown,,,unknown,2,10000,4617
TCGA-05-4434-01Z-00-DX1.f3f5c89c-306f-4876-98fa-f7bd231f2e10.svs,20,0.2325,43.01075268817204,40x+,4,47872,61184
TCGA-05-5425-01Z-00-DX1.85865B2F-4888-43DD-A501-458BEFCF832B.svs,Unknown,,,unknown,2,10000,5159
TCGA-05-5715-01Z-00-DX1.D3F0A1FA-2507-45FF-823F-F9981E62BB4C.svs,Unknown,,,unknown,2,8320,10000
TCGA-06-0127-01Z-00-DX1.2f717825-f1b4-4ccf-8b38-35c1db04ae49.svs,20,0.5015,19.940179461615156,20x,3,18000,30346
TCGA-06-0129-01Z-00-DX2.1ea78b46-1dc7-44d8-81bf-7717072d2f15.svs,20,0.5015,19.940179461615156,20x,2,16000,13774
TCGA-06-0137-01Z-00-DX4.140591f4-dc4d-493d-9a70-bed1335dd1c1.svs,20,0.5015,19.940179461615156,20x,3,40001,33620
TCGA-06-0138-01Z-00-DX1.212817bd-0fa0-4503-ae5b-4eaee8ee95e5.svs,20,0.5015,19.940179461615156,20x,3,36001,23266
TCGA-06-0138-01Z-00-DX4.8aec0797-c88f-4345-ab9b-dfba99dd91e6.svs,20,0.5015,19.940179461615156,20x,3,20000,29882
TCGA-06-0139-01Z-00-DX1.480e4717-5290-43a4-8534-62b7761ebe61.svs,20,0.5015,19.940179461615156,20x,3,34001,27199
TCGA-06-0141-01Z-00-DX2.9c16caf2-d538-4233-9480-1188d85c229d.svs,20,0.504,19.841269841269842,20x,3,47006,38019
TCGA-06-0141-01Z-00-DX5.b2dbdb69-a038-4b9e-a094-252d78287aad.svs,20,0.504,19.841269841269842,20x,3,22064,34400
TCGA-06-0143-01Z-00-DX1.d8a36977-d169-4059-9cd6-3f65f1bc821a.svs,20,0.5015,19.940179461615156,20x,3,20000,23248
TCGA-06-0147-01Z-00-DX1.5a8942f3-ec7b-4698-8fd1-5feb7ee81849.svs,20,0.504,19.841269841269842,20x,3,54681,21622
TCGA-06-0148-01Z-00-DX2.ec9f87b1-adef-4671-a056-19d38dd214f7.svs,20,0.5015,19.940179461615156,20x,3,18000,16976
TCGA-06-0148-01Z-00-DX5.a79e0d64-0318-4976-8b53-6d08b621b31b.svs,20,0.5015,19.940179461615156,20x,3,52002,35625
TCGA-06-0154-01Z-00-DX3.3a5e8636-58fa-4fbf-b15d-a674d7195ffd.svs,20,0.504,19.841269841269842,20x,3,20145,25263
TCGA-06-0156-01Z-00-DX1.1303eb2c-6cf6-4173-804c-d52a111263b5.svs,20,0.504,19.841269841269842,20x,3,25901,43565
TCGA-06-0156-01Z-00-DX3.9ccee303-ec3c-4d99-bb94-294efe89bcef.svs,20,0.504,19.841269841269842,20x,3,31657,34610
TCGA-06-0157-01Z-00-DX2.8ff48e0c-0470-4055-af66-a1a40e587d50.svs,20,0.504,19.841269841269842,20x,2,11511,6352
TCGA-06-0157-01Z-00-DX3.92209e36-62ba-4296-a166-4d147696bb68.svs,20,0.504,19.841269841269842,20x,2,16308,13827
TCGA-06-0166-01Z-00-DX3.a8310185-2d75-4b48-9760-1de4e2d7e9bb.svs,20,0.504,19.841269841269842,20x,3,19186,19192
TCGA-06-0166-01Z-00-DX6.c9cc3892-da84-44e8-b5d1-895f831fbcdb.svs,20,0.504,19.841269841269842,20x,3,34535,30830
TCGA-06-0168-01Z-00-DX3.6a390bd7-bbe8-4cdf-a562-2ef52d781186.svs,20,0.5015,19.940179461615156,20x,3,52002,43862
TCGA-06-0173-01Z-00-DX2.0de78487-bbad-4394-872c-a6613f610ec8.svs,20,0.5015,19.940179461615156,20x,3,28001,23801
TCGA-06-0174-01Z-00-DX1.85e41742-7e59-49d8-aaae-20feccaa2f68.svs,20,0.5015,19.940179461615156,20x,2,8000,9637
TCGA-06-0176-01Z-00-DX1.bc0aabdd-adc2-4aae-830a-2c30cad01027.svs,20,0.5015,19.940179461615156,20x,3,14000,17084
TCGA-06-0176-01Z-00-DX2.25e77a0c-317f-40e1-bd80-401f4df22d20.svs,20,0.5015,19.940179461615156,20x,3,36001,35627
TCGA-06-0178-01Z-00-DX6.eba88ad1-41fa-4e77-b4d7-afd5299cbe44.svs,20,0.5015,19.940179461615156,20x,3,46002,32136
TCGA-06-0184-01Z-00-DX2.b2242e9f-fac3-4e80-a82c-413e32332b68.svs,20,0.5015,19.940179461615156,20x,3,30001,34427
TCGA-06-0184-01Z-00-DX3.05b0e8e2-9a0a-460f-a7f7-f87a425ad1f1.svs,20,0.5015,19.940179461615156,20x,3,44002,36583
TCGA-06-0187-01Z-00-DX1.cdb244df-72af-4ffa-b063-a4ab81f89617.svs,20,0.5015,19.940179461615156,20x,3,20000,17219
TCGA-06-0187-01Z-00-DX4.defa1a76-b328-474e-8bdb-2382cc05ada4.svs,20,0.5015,19.940179461615156,20x,3,36001,28071
TCGA-06-0188-01Z-00-DX3.4e48d0b9-9941-4b05-9f11-dfe5e3c855a9.svs,20,0.5015,19.940179461615156,20x,3,42001,30064
TCGA-06-0197-01Z-00-DX2.3e580bbd-caea-4d70-aa95-974618f337ce.svs,20,0.5001,19.996000799840033,20x,3,27965,42480
TCGA-06-0208-01Z-00-DX3.99d68d3a-5884-4eb8-bdee-8ed1bc08bc61.svs,20,0.5001,19.996000799840033,20x,3,47941,37329
TCGA-06-0209-01Z-00-DX7.466111c9-2c18-477b-a699-540983a3c36c.svs,20,0.5001,19.996000799840033,20x,3,79902,45099
TCGA-06-0213-01Z-00-DX4.2e849308-80d0-4cd1-92c2-8649c790095c.svs,20,0.504,19.841269841269842,20x,2,9593,9626
TCGA-06-0213-01Z-00-DX5.09126b9a-a487-4a3e-ad6c-935a2786ce47.svs,20,0.504,19.841269841269842,20x,3,26861,24813
TCGA-06-0214-01Z-00-DX1.96cbe709-d077-4613-bfcd-2fdb0485cdb6.svs,20,0.504,19.841269841269842,20x,3,56600,38899
TCGA-06-0214-01Z-00-DX3.a2d6733a-d151-434f-bd63-ed3977dfd3af.svs,20,0.504,19.841269841269842,20x,3,53722,38836
TCGA-06-0216-01Z-00-DX3.78c3b2fb-8e64-4f1a-a5af-765c92286b90.svs,20,0.504,19.841269841269842,20x,3,43169,37627
TCGA-06-0216-01Z-00-DX4.3c6ee8ee-81df-4714-b04d-3088c11b0aa2.svs,20,0.504,19.841269841269842,20x,3,47966,38926
TCGA-06-0216-01Z-00-DX5.b9a89800-36b0-47ec-b510-75a74f2e433c.svs,20,0.504,19.841269841269842,20x,3,20145,40993
TCGA-06-0237-01Z-00-DX1.0705028b-46e9-41b0-8083-c347fb746b96.svs,20,0.5015,19.940179461615156,20x,3,16000,22324
TCGA-06-0237-01Z-00-DX2.684d94ed-c551-4460-96de-5cdfa0c36622.svs,20,0.5015,19.940179461615156,20x,3,24001,26990
TCGA-06-0646-01Z-00-DX3.4e029189-ecef-4e12-be1a-c67fbdf8e22b.svs,20,0.5015,19.940179461615156,20x,3,62002,38773
TCGA-06-0648-01Z-00-DX1.9e5a6a97-8bef-41a5-9c7b-675b254f4aad.svs,20,0.504,19.841269841269842,20x,3,49884,22466
TCGA-06-0686-01Z-00-DX1.fc0b2e05-94e0-4540-b519-6fc0c81e8d6f.svs,20,0.5015,19.940179461615156,20x,3,30001,25122
TCGA-06-0749-01Z-00-DX3.a2a7c65c-9629-4575-9a2a-b3c0c771a1fa.svs,20,0.5015,19.940179461615156,20x,3,30001,27535
TCGA-06-0749-01Z-00-DX4.d44dbb9e-345f-46b0-a023-a1258d384b6f.svs,20,0.5015,19.940179461615156,20x,3,24001,28390
TCGA-06-0750-01Z-00-DX3.a8f15076-293c-4f54-b047-a32eaeccca11.svs,20,0.5015,19.940179461615156,20x,3,40001,31828
TCGA-06-0881-01Z-00-DX1.0051da3c-d88a-483d-ae4c-90fe378bf0c3.svs,20,0.5015,19.940179461615156,20x,3,46002,26789
TCGA-06-0881-01Z-00-DX2.791dd92e-eaa1-474e-a63f-6df4b4f872b7.svs,20,0.5015,19.940179461615156,20x,3,12000,29050
TCGA-06-0882-01Z-00-DX1.90e658c5-a34f-435e-972f-938ea89d0a6b.svs,20,0.5015,19.940179461615156,20x,3,40001,37939
TCGA-06-1801-01Z-00-DX1.94958ef7-74a5-415e-bd4c-a4e52e1f6551.svs,20,0.5015,19.940179461615156,20x,3,36001,27079
TCGA-06-1802-01Z-00-DX2.6bc3dbca-8385-482e-a33b-9b67f9938bb6.svs,20,0.5015,19.940179461615156,20x,3,38001,20736
TCGA-06-1805-01Z-00-DX1.d67221af-2dac-40fe-bc4a-e30aa3a5fbb9.svs,20,0.5015,19.940179461615156,20x,3,50002,19305
TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17.svs,40,0.252,39.682539682539684,40x+,3,60432,21187
TCGA-06-6388-01Z-00-DX1.14c09c5f-3ea4-4e1e-a5e6-308325383165.svs,40,0.252,39.682539682539684,40x+,4,95924,70168
TCGA-06-6389-01Z-00-DX1.ca78be78-49a5-4b56-9482-16ec5350bb40.svs,40,0.252,39.682539682539684,40x+,4,100720,76291
TCGA-08-0352-01Z-00-DX1.a5e552a6-6dcf-40c7-9e02-ce9e3f31059d.svs,20,0.5015,19.940179461615156,20x,4,82003,27847
TCGA-08-0353-01Z-00-DX1.C29C6177-3C62-4399-A030-C936156E79D2.svs,40,0.2525,39.603960396039604,40x+,4,135456,74460
TCGA-08-0354-01Z-00-DX1.577F7E82-1CDD-4639-9079-AC24FCE94BF7.svs,40,0.2525,39.603960396039604,40x+,4,175296,46884
TCGA-12-1092-01Z-00-DX1.78AA4D76-674D-4DCC-B46A-284FAC277653.svs,20,0.4993,20.02803925495694,20x,4,88029,44668
TCGA-12-1098-01Z-00-DX1.53273BD2-BB87-49C5-95A2-32B9FADCF004.svs,20,0.4993,20.02803925495694,20x,4,88029,44668
TCGA-12-1598-01Z-00-DX4.0B636310-8406-4776-B893-27B4CECB33F5.svs,20,0.4993,20.02803925495694,20x,3,62020,46874
TCGA-12-1599-01Z-00-DX1.9EC541A8-03C6-43A9-877A-942F90810302.svs,20,0.4993,20.02803925495694,20x,3,58019,46849
TCGA-12-3646-01Z-00-DX1.31628F37-ED94-452B-9667-B6AA8158CA47.svs,20,0.4993,20.02803925495694,20x,3,60020,45788
